Time(ms),Position(rad),Torque(Nm),Velocity(rad/s),Acceleration(rad/s^2)
1137.6,7.144671,1.607000,0.236868,-0.219311
1148.1,7.147080,1.629000,0.238438,0.156993
1158.5,7.149525,1.554000,0.237216,-0.122239
1168.7,7.151946,1.566000,0.238498,0.128231
1178.1,7.154391,1.489000,0.240440,0.194144
1188.3,7.156835,1.526000,0.242261,0.182160
1198.4,7.159316,1.473000,0.244934,0.267248
1208.5,7.161773,1.503000,0.248205,0.327169
1218.8,7.164289,1.488000,0.246899,-0.130628
1229.1,7.166782,1.585000,0.245521,-0.137819
1239.2,7.169239,1.764000,0.241015,-0.450607
1249.5,7.171708,1.648000,0.238031,-0.298407
1260.1,7.174129,1.628000,0.232674,-0.535695
1269.7,7.176465,1.609000,0.230517,-0.215716
1280.4,7.178802,1.803000,0.231775,0.125834
1290.2,7.181139,1.713000,0.231379,-0.039548
1300.5,7.183452,1.730000,0.227832,-0.354733
1310.7,7.185825,1.685000,0.231128,0.329566
1320.5,7.188162,1.780000,0.235598,0.447012
1330.7,7.190583,1.628000,0.238989,0.339154
1340.8,7.193004,1.757000,0.241734,0.274439
1351.4,7.195508,1.602000,0.241326,-0.040746
1361.6,7.197965,1.686000,0.239696,-0.162985
1371.5,7.200434,1.614000,0.238678,-0.101866
1382.0,7.202843,1.761000,0.235969,-0.270843
1392.2,7.205264,1.678000,0.232961,-0.300804
1402.4,7.207672,1.625000,0.233441,0.047937
1412.5,7.210021,1.716000,0.234387,0.094675
1422.3,7.212382,1.702000,0.233824,-0.056326
1432.8,7.214803,1.482000,0.233812,-0.001198
1443.1,7.217200,1.480000,0.238918,0.510528
1453.3,7.219633,1.428000,0.239565,0.064715
1463.4,7.222065,1.503000,0.240739,0.117445
1473.4,7.224510,1.570000,0.243807,0.306796
1483.4,7.226955,1.573000,0.243004,-0.080294
1493.6,7.229388,1.651000,0.241494,-0.151001
1503.7,7.231869,1.402000,0.237156,-0.433829
1514.0,7.234277,1.404000,0.232326,-0.482964
1524.5,7.236578,1.562000,0.229857,-0.246875
1534.5,7.238867,1.522000,0.223554,-0.630370
1544.2,7.241156,1.395000,0.225567,0.201335
1554.2,7.243385,1.610000,0.227856,0.228899
1564.4,7.245650,1.733000,0.224057,-0.379900
1574.5,7.247939,1.541000,0.228288,0.423043
1584.9,7.250252,1.601000,0.230612,0.232494
1594.9,7.252589,1.478000,0.233273,0.266050
1605.2,7.254974,1.483000,0.235981,0.270843
1614.6,7.257359,1.541000,0.237971,0.198938
1624.8,7.259768,1.535000,0.238174,0.020373
1635.0,7.262189,1.407000,0.237012,-0.116247
1645.2,7.264573,1.582000,0.237276,0.026365
1655.2,7.266946,1.571000,0.234783,-0.249272
1665.2,7.269307,1.498000,0.232158,-0.262455
1675.4,7.271656,1.474000,0.235802,0.364320
1685.5,7.274029,1.423000,0.234447,-0.135422
1695.6,7.276390,1.453000,0.233968,-0.047937
1706.2,7.278811,1.360000,0.235646,0.167779
1716.3,7.281232,1.304000,0.235454,-0.019175
1726.4,7.283652,1.341000,0.237779,0.232494
1736.7,7.286061,1.536000,0.241218,0.343947
1746.6,7.288542,1.556000,0.244286,0.306796
1757.0,7.291023,1.645000,0.243807,-0.047937
1767.2,7.293479,1.558000,0.238929,-0.487758
1777.1,7.295912,1.377000,0.234963,-0.396678
1787.4,7.298273,1.300000,0.226574,-0.838896
1797.8,7.300562,1.409000,0.221732,-0.484163
1808.2,7.302839,1.415000,0.223757,0.202533
1818.1,7.305104,1.322000,0.221001,-0.275637
1828.3,7.307333,1.385000,0.221361,0.035953
1838.0,7.309538,1.545000,0.223889,0.252867
1848.6,7.311875,1.220000,0.225040,0.115049
1858.4,7.314224,1.137000,0.228743,0.370313
1868.6,7.316561,1.230000,0.231751,0.300804
1878.7,7.318886,1.291000,0.236581,0.482964
1888.7,7.321295,1.189000,0.237515,0.093477
1899.3,7.323668,1.277000,0.235993,-0.152200
1909.4,7.326053,1.323000,0.235454,-0.053929
1919.2,7.328366,1.445000,0.229054,-0.639958
1929.4,7.330714,1.497000,0.228479,-0.057524
1939.4,7.333015,1.400000,0.229738,0.125834
1949.2,7.335304,1.676000,0.230816,0.107858
1959.8,7.337665,1.344000,0.230469,-0.034754
